condition,filename,experiment,id,mean_diff_x,mean_diff_y,sd_diff_x,sd_diff_y,q025_diff_x,q025_diff_y,q975_diff_x,q975_diff_y,var_x,var_y,cov_xy,cor_xy,auto_x,auto_y
bin,stationary_14-10-2023,stationary 2,1,-0.309350857452275,-0.260141428018372,0.00904133198320411,0.009229401247432,-0.325069297703848,-0.28010599012529,-0.291862797703848,-0.24343524012529,8.17456840305096e-05,8.51818473860994e-05,6.69936733627176e-06,0.0802837866241184,0.580316984469175,0.44908237713243
bin,stationary_14-10-2023,stationary 2,2,-0.217295253075096,-0.127545810227976,0.0189686749176695,0.0119731293759908,-0.246856297703847,-0.15181136512529,-0.177222547703848,-0.10631011512529,0.000359810628132224,0.000143355827054214,-6.5632557960894e-05,-0.288984574665676,0.572839230124046,0.523123514333815
bin,stationary_14-10-2023,stationary 2,3,-0.154517843912378,-0.0381127296592555,0.0131027625414666,0.0130261236380505,-0.183527547703847,-0.0608726151252902,-0.129321297703847,-0.0163951151252904,0.000171682386218059,0.000169679897033777,5.82598750618118e-05,0.341343378364207,0.538382284217022,0.531011067957711
bin,stationary_14-10-2023,stationary 2,4,-0.271826423490011,-0.00762898304981892,0.0122442362172684,0.00896273994061732,-0.293995047703848,-0.0244101151252902,-0.247535172703848,0.0102102598747097,0.000149921320544266,8.03307072431369e-05,-2.35848118920615e-06,-0.0214911631932073,0.532796621525021,0.485193330189461
bin,stationary_14-10-2023,stationary 2,5,-0.175044455286786,0.00748313132020696,0.0132775952008142,0.00867513125743257,-0.203253797703848,-0.00943011512529113,-0.152017547703848,0.0217811348747092,0.000176294534316684,7.52579023336836e-05,-1.83210263346591e-06,-0.0159057561649791,0.61028470205218,0.467942629798302
bin,stationary_14-10-2023,stationary 2,6,-0.236858904846705,0.082331432493757,0.0134482824227868,0.00924448684067876,-0.263111172703848,0.06529825987471,-0.212975547703848,0.100389009874709,0.000180856300123035,8.54605369474827e-05,-1.55879878673939e-06,-0.0125383511778194,0.661933323684261,0.540164366497862
bin,stationary_14-10-2023,stationary 2,7,-0.145569510579045,0.0494055720785008,0.0127627744637171,0.0101943025748928,-0.169206297703848,0.0292661348747092,-0.123320047703848,0.0669948848747093,0.00016288841201171,0.000103923804988465,-4.56403068391253e-05,-0.350788979651506,0.557350897320477,0.55366642814138
bin,stationary_14-10-2023,stationary 2,8,-0.223199190785609,0.184774586132571,0.0107497185709378,0.00955551200504875,-0.242166422703847,0.167659634874709,-0.199466422703848,0.20535938487471,0.000115556449354365,9.13078096786308e-05,-5.12116554267788e-07,-0.0049856037434555,0.610670186085011,0.551091115985107
bin,stationary_14-10-2023,stationary 2,9,-0.0794432159428414,0.206203949340118,0.0159324033514217,0.0201441206297992,-0.104720797703847,0.167071759874709,-0.0526829227038481,0.243789634874709,0.000253841476552394,0.000405785595947903,-8.37511246868379e-05,-0.26095224754235,0.529376279930626,0.615809864113792
bin,stationary_14-10-2023,stationary 2,10,-0.0189613520516737,-0.323069494007278,0.0217007776395926,0.0245419423943338,-0.0652700477038479,-0.37334011512529,0.0222949522961526,-0.28034011512529,0.000470923750163044,0.000602306936486801,-7.15954679347832e-05,-0.134431579874335,0.548107483922094,0.542027420347002
bin,stationary_14-10-2023,stationary 2,11,0.148343047534248,-0.357301980204655,0.0161273224883982,0.0133377392590965,0.119669952296153,-0.38074661512529,0.178941202296152,-0.33354349012529,0.000260090530644794,0.000177895288543645,-1.23216358130189e-05,-0.0572827520699481,0.618237547198487,0.639952949820494
bin,stationary_14-10-2023,stationary 2,12,0.136278445119119,-0.309327156592595,0.0181590905449277,0.0151360420183474,0.0974449522961528,-0.33692011512529,0.169774952296152,-0.28240411512529,0.000329752569418882,0.000229099767981178,-6.71274636151487e-05,-0.244227081134856,0.670117560756949,0.631009078354326
bin,stationary_14-10-2023,stationary 2,13,0.117030102375141,-0.0820434879530943,0.0234591471564517,0.0176955045680088,0.0678949522961529,-0.12240011512529,0.162694952296152,-0.0498413651252903,0.000550331585308057,0.000313130881916422,0.000293977806289025,0.708173016249623,0.696210828844349,0.680914214083041
bin,stationary_14-10-2023,stationary 2,14,0.190753720068664,-0.0419643805281343,0.0119486149939365,0.00904774530802318,0.166632452296152,-0.0575651151252905,0.212294952296153,-0.0245001151252904,0.000142769400273325,8.18616951588555e-05,1.00312902216698e-05,0.0927895056688625,0.512345604432888,0.553226159343017
bin,stationary_14-10-2023,stationary 2,15,0.127101320220681,-0.0178980160686869,0.0116800420987244,0.00797434432994407,0.103292452296152,-0.0335097401252907,0.146398702296152,-0.00347611512529098,0.000136423383427974,6.35901674925112e-05,-6.02306911718614e-06,-0.0646663657589888,0.502627657888967,0.495484210906537
bin,stationary_14-10-2023,stationary 2,16,0.0975391071144777,0.0253119148905072,0.0133907247990802,0.0100036247570592,0.0688074522961526,0.00606613487470908,0.121019952296153,0.0451836348747094,0.0001793115106447,0.000100072508280047,-1.72181953528172e-05,-0.128536406318647,0.591640598174676,0.576721288283711
bin,stationary_14-10-2023,stationary 2,17,0.119738920550121,0.0478145039223284,0.0117139669139123,0.00999717897810759,0.0963799522961518,0.0295543848747097,0.142109952296153,0.0659045098747094,0.000137217020860232,9.99435875203162e-05,-2.21353832232108e-05,-0.189019053818976,0.554583009052068,0.570215972558063
bin,stationary_14-10-2023,stationary 2,18,0.229636184523641,0.19930880272621,0.0112219523741701,0.0120585105876812,0.208769952296152,0.17685738487471,0.250432452296153,0.221727384874709,0.000125932215088143,0.000145407677593221,2.82959867630822e-05,0.209104198732305,0.517009859907683,0.555768599943819
