id,created,modified,name,date,active,room_x_size,room_y_size,center_point_x,center_point_y,introduction_video_type,introduction_questions,exp_type,language,qr_codes,cycle_time,phase,num_waiting,num_cycles
7,2023-10-14 12:29:30.44857+00,2023-10-14 12:29:30.448571+00,stationary 4,2023-10-14 12:29:01.477,f,20,20,,,,,notablet,,f,,created,,
8,2023-10-14 12:30:15.258+00,2023-10-14 12:31:14.443889+00,stationary 5,2023-10-14 12:29:55.057,f,20,20,,,,,notablet,,f,,created,,
9,2023-10-14 12:31:33.274146+00,2023-10-14 12:33:08.209921+00,stationary 6,2023-10-14 12:31:11.028,f,20,20,,,,,notablet,,f,,created,,
11,2023-10-14 12:43:46.434554+00,2023-10-14 12:44:22.703083+00,movement 5 4.5 V,2023-10-14 12:43:24.932,f,20,20,,,,,notablet,,f,,created,,
12,2023-10-14 12:45:10.48236+00,2023-10-14 12:45:36.232338+00,movement 5 6 V,2023-10-14 12:44:47.75,f,20,20,,,,,notablet,,f,,created,,
13,2023-10-14 12:46:35.978273+00,2023-10-14 12:47:05.107502+00,movement 5 7.5 V,2023-10-14 12:46:09.751,f,20,20,,,,,notablet,,f,,created,,
14,2023-10-14 12:47:36.483465+00,2023-10-14 12:48:00.162002+00,movement 5 9 V,2023-10-14 12:47:07.15,f,20,20,,,,,notablet,,f,,created,,
28,2023-10-14 13:08:57.238263+00,2023-10-14 13:10:07.566453+00,movement 9 3 V,2023-10-14 13:08:36.538,f,20,20,,,,,notablet,,f,,created,,
15,2023-10-14 12:48:32.363875+00,2023-10-14 12:49:06.952686+00,movement 5 12 V,2023-10-14 12:48:02.362,f,20,20,,,,,notablet,,f,,created,,
16,2023-10-14 12:50:04.779639+00,2023-10-14 12:50:50.613955+00,movement 1 3 V,2023-10-14 12:49:44.297,f,20,20,,,,,notablet,,f,,created,,
17,2023-10-14 12:51:11.354343+00,2023-10-14 12:51:43.301068+00,movement 1 4.5 V,2023-10-14 12:50:51.189,f,20,20,,,,,notablet,,f,,created,,
34,2023-10-14 13:11:23.836745+00,2023-10-14 13:12:00.639457+00,movement 9 3 V real,2023-10-14 13:10:53.978,f,20,20,,,,,notablet,,f,,created,,
18,2023-10-14 12:52:28.200721+00,2023-10-14 12:52:50.132902+00,movement 1 6 V,2023-10-14 12:51:35.631,f,20,20,,,,,notablet,,f,,created,,
